nume,judet,abreviere,populatie,lat,lng,,
Cranguri,Giurgiu,GR,852,44.2049564,25.9804287,Cranguri,Cranguri
Stejaru,Giurgiu,GR,793,44.2509444,25.9323789,Stejaru,Stejaru
Slobozia,Giurgiu,GR,2377,43.8583495,25.9065998,Slobozia,Slobozia
Stanesti,Giurgiu,GR,1433,43.9387027,25.865863,Stanesti,Stanesti
Balanu,Giurgiu,GR,564,43.919856,25.9185016,Balanu,Balanu
Ghizdaru,Giurgiu,GR,563,43.9308597,25.8831724,Ghizdaru,Ghizdaru
Oncesti,Giurgiu,GR,440,43.9577898,25.8824729,Oncesti,Oncesti
Stoenesti,Giurgiu,GR,1805,44.1376789,25.8898644,Stoenesti,Stoenesti
Ianculesti,Giurgiu,GR,267,44.1401398,25.9250338,Ianculesti,Ianculesti
Mirau,Giurgiu,GR,177,44.1409954,25.8661048,Mirau,Mirau
Toporu,Giurgiu,GR,1491,44.0165934,25.6538271,Toporu,Toporu
Tomulesti,Giurgiu,GR,849,43.9792561,25.6370731,Tomulesti,Tomulesti
Ulmi,Giurgiu,GR,1177,44.4989656,25.7756198,Ulmi,Ulmi
Cascioarele(Ulmi),Giurgiu,GR,233,44.5191373,25.7456057,Cascioarele(Ulmi),Cascioarele(Ulmi)
Draganeasca,Giurgiu,GR,601,44.5304795,25.7419902,Draganeasca,Draganeasca
Ghionea,Giurgiu,GR,596,44.4826904,25.799675,Ghionea,Ghionea
Icoana,Giurgiu,GR,1119,44.4854071,25.7450739,Icoana,Icoana
Mosteni,Giurgiu,GR,460,44.1742096,25.9408144,Mosteni,Mosteni
Poenari,Giurgiu,GR,1024,44.4732073,25.7701411,Poenari,Poenari
Trestieni,Giurgiu,GR,2608,44.5102753,25.7593712,Trestieni,Trestieni
Valeadragului,Giurgiu,GR,3230,44.2074248,26.2951445,Valeadragului,ValeaDragului
Varasti,Giurgiu,GR,3908,44.2407092,26.2696557,Varasti,Varasti
Dobreni,Giurgiu,GR,2409,44.253387,26.2082339,Dobreni,Dobreni
Vanatoriimici,Giurgiu,GR,847,44.4904262,25.5602004,Vanatoriimici,VanatoriiMici
Corbeanca,Giurgiu,GR,367,44.4759721,25.5666586,Corbeanca,Corbeanca
Cupele,Giurgiu,GR,502,44.5034495,25.5262786,Cupele,Cupele
Izvoru(Vanatoriimici),Giurgiu,GR,860,44.5127129,25.5389944,Izvoru(Vanatoriimici),Izvoru(VanatoriiMici)
Poianaluistanga,Giurgiu,GR,748,44.5089374,25.5856531,Poianaluistanga,PoianaluiStanga
Valcelele,Giurgiu,GR,,44.4673387,25.5719187,Valcelele,Valcelele
Vanatoriimari,Giurgiu,GR,1225,44.4895559,25.538116,Vanatoriimari,VanatoriiMari
Zadariciu,Giurgiu,GR,218,44.4736515,25.5789283,Zadariciu,Zadariciu
Vedea,Giurgiu,GR,3108,43.7809092,25.785655,Vedea,Vedea
Malu,Giurgiu,GR,2376,43.8214124,25.8286785,Malu,Malu
Azuga,Prahova,PH,4440,45.4450965,25.5700368,Azuga,Azuga
Baicoi,Prahova,PH,11047,45.0340198,25.879006,Baicoi,Baicoi
Dambu,Prahova,PH,,45.0455104,25.8881859,Dambu,Dambu
Liliesti,Prahova,PH,3438,45.0340198,25.879006,Liliesti,Liliesti
Schela,Prahova,PH,438,45.033051,25.8367014,Schela,Schela
Tufeni,Prahova,PH,930,45.0606817,25.835884,Tufeni,Tufeni
Tintea,Prahova,PH,1396,45.0331044,25.9135987,Tintea,Tintea
Boldestiscaeni,Prahova,PH,10105,45.0203382,26.0274723,Boldestiscaeni,BoldestiScaeni
Seciu,Prahova,PH,1032,45.0323928,26.0649481,Seciu,Seciu
Breaza,Prahova,PH,,45.187222,25.662222,Breaza,Breaza
Breazadejos,Prahova,PH,4292,45.1719817,25.6694364,Breazadejos,BreazadeJos
Breazadesus,Prahova,PH,6068,45.1903148,25.6555351,Breazadesus,BreazadeSus
Frasinet,Prahova,PH,509,45.195991,25.6787267,Frasinet,Frasinet
Gurabeliei,Prahova,PH,935,45.2141183,25.6448983,Gurabeliei,GuraBeliei
Irimesti,Prahova,PH,32,45.1528102,25.6608568,Irimesti,Irimesti
Nistoresti,Prahova,PH,832,45.2067019,25.6653688,Nistoresti,Nistoresti
Poducorbului,Prahova,PH,309,45.2166442,25.6552086,Poducorbului,PoduCorbului
Poduvadului,Prahova,PH,1598,45.1514861,25.6871484,Poduvadului,PoduVadului
Surdesti,Prahova,PH,112,45.1870043,25.619863,Surdesti,Surdesti
Valeatarsei,Prahova,PH,1241,45.1823289,25.6419569,Valeatarsei,ValeaTarsei
Busteni,Prahova,PH,6376,45.4097148,25.5342236,Busteni,Busteni
Poianatapului,Prahova,PH,2518,45.3809651,25.5442904,Poianatapului,PoianaTapului
Campina,Prahova,PH,32935,45.1369957,25.742141,Campina,Campina
Comarnic,Prahova,PH,3667,45.2488709,25.6408029,Comarnic,Comarnic
Ghiosesti,Prahova,PH,3119,45.2438113,25.6201723,Ghiosesti,Ghiosesti
Podulung,Prahova,PH,570,45.2270816,25.6534052,Podulung,PoduLung
Poiana,Prahova,PH,3255,45.2335929,25.641912,Poiana,Poiana
